TimeStep,L_OS,L_NA,L_DA,L_MILP,L_GDA,L_FF,L_GD,L_MILPO,L_MI,XLAT,XLONG,
180,,0,0,0,0,0,0,0,0,,,
181,,0,0,0,0,0,0,0,0,,,
182,,0,0,0,0,0,0,0,0,,,
183,,0,0,0,0,0,0,0,0,,,
184,1,0,0,0,0,1,1,0,0,,,
185,,0,0,0,0,0,0,0,0,,,
186,,0,0,0,0,0,0,0,0,,,
187,,0,0,0,0,0,0,0,0,,,
188,,0,0,0,0,0,0,0,0,,,
189,1,0,0,0,0,0,0,0,0,,,
190,1,0,0,0,0,1,0,0,0,,,
191,1,0,0,0,0,0,0,0,0,,,28
